source,ingredient_id,token_id,token,label
ar,0,0,4,QUANTITY
ar,0,1,cloves,UNIT
ar,0,2,garlic,NAME
ar,1,0,2,QUANTITY
ar,1,1,tablespoons,UNIT
ar,1,2,vegetable,NAME
ar,1,3,oil,NAME
ar,1,4,",",O
ar,1,5,divided,STATE
ar,2,0,2,QUANTITY
ar,2,1,tablespoons,UNIT
ar,2,2,dried,DF
ar,2,3,marjoram,NAME
ar,3,0,1,QUANTITY
ar,3,1,large,SIZE
ar,3,2,red,NAME
ar,3,3,onion,NAME
ar,3,4,",",O
ar,3,5,1/4-inch,O
ar,3,6,slices,O
ar,3,7,pulled,O
ar,3,8,into,O
ar,3,9,rings,O
ar,4,0,2,QUANTITY
ar,4,1,jalapeno,NAME
ar,4,2,peppers,NAME
ar,4,3,",",O
ar,4,4,seeded,STATE
ar,4,5,and,O
ar,4,6,minced,STATE
ar,5,0,1,QUANTITY
ar,5,1,tablespoon,UNIT
ar,5,2,olive,NAME
ar,5,3,oil,NAME
ar,6,0,extra,NAME
ar,6,1,virgin,NAME
ar,6,2,olive,NAME
ar,6,3,oil,NAME
ar,6,4,",",O
ar,6,5,for,O
ar,6,6,drizzling,O
ar,7,0,1/3,QUANTITY
ar,7,1,cup,UNIT
ar,7,2,sliced,STATE
ar,7,3,pitted,STATE
ar,7,4,ripe,STATE
ar,7,5,olives,NAME
ar,7,6,-LRB-,O
ar,7,7,optional,O
ar,7,8,-RRB-,O
ar,8,0,3,QUANTITY
ar,8,1,cloves,UNIT
ar,8,2,garlic,NAME
ar,8,3,",",O
ar,8,4,minced,STATE
ar,9,0,4,QUANTITY
ar,9,1,tablespoons,UNIT
ar,9,2,oyster,NAME
ar,9,3,sauce,NAME
ar,10,0,1,QUANTITY
ar,10,1,-LRB-,O
ar,10,2,10.75,QUANTITY
ar,10,3,ounce,UNIT
ar,10,4,-RRB-,O
ar,10,5,can,UNIT
ar,10,6,condensed,STATE
ar,10,7,tomato,NAME
ar,10,8,soup,NAME
ar,11,0,2,QUANTITY
ar,11,1,cups,UNIT
ar,11,2,uncooked,STATE
ar,11,3,white,NAME
ar,11,4,rice,NAME
ar,12,0,2,QUANTITY
ar,12,1,tablespoons,UNIT
ar,12,2,chili,NAME
ar,12,3,bean,NAME
ar,12,4,paste,NAME
ar,12,5,-LRB-,O
ar,12,6,toban,O
ar,12,7,djan,O
ar,12,8,-RRB-,O
ar,13,0,3/4,QUANTITY
ar,13,1,cup,UNIT
ar,13,2,distilled,STATE
ar,13,3,white,NAME
ar,13,4,vinegar,NAME
ar,14,0,1,QUANTITY
ar,14,1,teaspoon,UNIT
ar,14,2,grated,STATE
ar,14,3,fresh,DF
ar,14,4,ginger,NAME
ar,14,5,root,NAME
ar,15,0,2,QUANTITY
ar,15,1,limes,NAME
ar,15,2,",",O
ar,15,3,sliced,STATE
ar,15,4,into,O
ar,15,5,wedges,O
ar,16,0,1,QUANTITY
